sentence,law
Parole violation involves breaking early release terms,criminal law
Harboring fugitive involves hiding wanted person,criminal law
Accessory after fact involves helping after crime,criminal law
Compounding crime involves accepting consideration not to prosecute,criminal law
Misprision involves concealing knowledge of crime,criminal law
Malfeasance involves wrongful official conduct,criminal law
Misfeasance involves improper official conduct,criminal law
Nonfeasance involves failure to perform official duty,criminal law
Criminal mischief involves property damage,criminal law
Criminal trespass involves unlawful entry,criminal law
Peeping tom involves secret observation,criminal law
Voyeurism involves secret sexual observation,criminal law
Indecent exposure involves public nudity,criminal law
Public intoxication involves drunkenness in public,criminal law
Disorderly conduct involves disruptive behavior,criminal law
Breach of peace involves public disturbance,criminal law
Riot involves violent public disorder,criminal law
Unlawful assembly involves gathering for illegal purpose,criminal law
Affray involves fighting in public place,criminal law
Terrorism involves violence for political aims,criminal law
Treason involves betrayal of one's country,criminal law
Espionage involves spying for foreign power,criminal law
Sedition involves incitement against government,criminal law
Subversion involves undermining government authority,criminal law
Piracy at sea involves robbery on waterways,criminal law
Hijacking involves seizure of vehicle,criminal law
Skyjacking involves seizure of aircraft,criminal law
Carjacking involves seizure of automobile,criminal law
Hostage taking involves unlawful detention,criminal law
Torture involves infliction of severe pain,criminal law
Genocide involves destruction of ethnic group,criminal law
Crimes against humanity involve widespread attacks,criminal law
War crimes violate laws of armed conflict,criminal law
Aggression involves use of force against state,criminal law
Contract formation requires offer acceptance and consideration,contract law
A breach of contract entitles the aggrieved party to remedies,contract law
Contracts made under duress are voidable,contract law
Failure to deliver goods by the due date is a breach,contract law
The seller warrants that goods sold are fit for purpose,contract law
All commercial contracts must be in writing when required by statute,contract law
Electronic contracts are enforceable if intention and consent are clear,contract law
A termination clause specifies the conditions of ending the contract,contract law
Contractual disputes may be resolved through arbitration,contract law
A non-disclosure agreement protects confidential information,contract law
An offer must be clear definite and communicated,contract law
Acceptance must mirror the offer's terms,contract law
Consideration is something of value exchanged,contract law
Capacity refers to legal ability to contract,contract law
Legality requires lawful contract purpose,contract law
Mutual assent means meeting of the minds,contract law
Void contracts have no legal effect,contract law
Voidable contracts may be canceled by one party,contract law
Unenforceable contracts cannot be enforced in court,contract law
Executed contracts have been fully performed,contract law
Executory contracts await performance,contract law
Bilateral contracts involve mutual promises,contract law
Unilateral contracts involve promise for act,contract law
Express contracts have stated terms,contract law
Implied contracts arise from conduct,contract law
Quasi-contracts prevent unjust enrichment,contract law
Adhesion contracts are standard form agreements,contract law
Aleatory contracts depend on uncertain events,contract law
Option contracts grant right to enter future contract,contract law
Requirements contracts supply buyer's needs,contract law
Output contracts sell producer's output,contract law
Conditional contracts depend on specified events,contract law
Third-party beneficiaries can enforce contracts,contract law
Assignment transfers contractual rights,contract law
Delegation transfers contractual duties,contract law
Novation substitutes new contract for old,contract law
Accord and satisfaction settles disputed claim,contract law
Anticipatory repudiation occurs before performance due,contract law
Material breach allows termination of contract,contract law
Minor breach does not excuse performance,contract law
Substantial performance may still require payment,contract law
Perfect tender rule applies to sales contracts,contract law
Impossibility of performance excuses obligation,contract law
Impracticability excuses performance due to extreme difficulty,contract law
Frustration of purpose discharges contract,contract law
Force majeure clauses address unforeseen events,contract law
Mitigation of damages reduces recoverable losses,contract law
Compensatory damages cover actual losses,contract law
Consequential damages cover indirect losses,contract law
Incidental damages cover minor expenses,contract law
Liquidated damages are predetermined amounts,contract law
Punitive damages punish wrongful conduct,contract law
Nominal damages recognize technical breach,contract law
Specific performance requires actual performance,contract law
Injunction orders or prohibits certain acts,contract law
Rescission cancels contract and restores parties,contract law
Reformation corrects contract mistakes,contract law
Restitution returns benefits received,contract law
Quantum meruit pays for value of services,contract law
Parol evidence rule excludes prior agreements,contract law
Integration clause states complete agreement,contract law
Statute of frauds requires writing for certain contracts,contract law
UCC governs sales of goods,contract law
Common law governs services and real estate,contract law
Merchant rules apply to business professionals,contract law
Battle of forms addresses conflicting terms,contract law
Mailbox rule determines acceptance timing,contract law
Mirror image rule requires identical acceptance,contract law
Last shot rule in battle of forms,contract law
Course of dealing considers past transactions,contract law
Usage of trade considers industry customs,contract law
Course of performance considers current contract conduct,contract law
Output and requirements must be reasonable,contract law
Cure right allows seller to fix nonconforming goods,contract law
Revocation of offer before acceptance,contract law
Rejection terminates offer,contract law
Counteroffer terminates original offer,contract law
Lapse of offer after reasonable time,contract law
Death or incapacity terminates offer,contract law
Destruction of subject matter terminates offer,contract law
Supervening illegality terminates offer,contract law
Promissory estoppel enforces promises without consideration,contract law
Detrimental reliance basis for estoppel,contract law
Unjust enrichment basis for quasi-contract,contract law
Gratuitous promises generally unenforceable,contract law
Illusory promises lack commitment,contract law
Past consideration is not valid consideration,contract law
Moral obligation is not consideration,contract law
Preexisting duty is not consideration,contract law
Unconscionability voids unfair contracts,contract law
Duress voids contracts made under pressure,contract law
Undue influence voids contracts from abuse of trust,contract law
Fraud voids contracts based on deception,contract law
Misrepresentation voids contracts based on false statements,contract law
Mistake may void contracts based on error,contract law
Mutual mistake voids contracts with shared error,contract law
Unilateral mistake may not void contracts,contract law
Illegality voids contracts with illegal purpose,contract law
Public policy voids contracts contrary to public good,contract law
Capacity issues affect minors contracts,contract law
Minors may disaffirm contracts,contract law
Mental incapacity may void contracts,contract law
Intoxication may void contracts,contract law
Corporations have contractual capacity,contract law
Partnerships have contractual capacity,contract law
Government entities have contractual capacity,contract law
Nonprofit organizations have contractual capacity,contract law
Unincorporated associations have limited capacity,contract law
Statute of limitations limits contract claims,contract law
Accrual of cause of action starts limitations period,contract law
Tolling suspends statute of limitations,contract law
Discharge terminates contractual obligations,contract law
Performance discharges contract,contract law
Breach discharges non-breaching party,contract law
Agreement discharges by mutual consent,contract law
Condition precedent must occur before duty arises,contract law
Condition subsequent terminates duty if event occurs,contract law
Concurrent conditions require simultaneous performance,contract law
Marriage shall be entered into only with the free consent of both parties,family law
Custody of children is decided based on the best interests of the child,family law
Spouses have equal rights and duties within the family,family law
Adoption shall be approved by a competent court,family law
Child support continues after divorce until majority,family law
A decree of separation suspends marital cohabitation,family law
Domestic violence victims may obtain protective injunctions,family law
Paternity may be established by genetic testing,family law
Alimony may be awarded depending on financial need,family law
Fathers and mothers share parental authority equally,family law
Marriage requires legal capacity of both parties,family law
Minimum age for marriage is set by statute,family law
Prohibited degrees of kinship prevent certain marriages,family law
Common law marriage requires cohabitation and holding out,family law
Annulment declares marriage never legally existed,family law
Grounds for annulment include fraud or impotence,family law
Divorce dissolves valid marriage,family law
No-fault divorce does not require proving wrongdoing,family law
Irreconcilable differences basis for divorce,family law
Irretrievable breakdown basis for divorce,family law
Separation agreement outlines terms of separation,family law
Property division follows equitable distribution,family law
Community property states divide marital property equally,family law
Separate property remains individual ownership,family law
Marital property includes assets acquired during marriage,family law
Premarital agreements govern property before marriage,family law
Postnuptial agreements govern property during marriage,family law
Child custody includes legal and physical custody,family law
Joint custody involves both parents sharing responsibility,family law
Sole custody grants one parent primary responsibility,family law
Visitation schedules ensure non-custodial parent access,family law
Supervised visitation requires third-party presence,family law
Child support guidelines calculate payments,family law
Income shares model calculates child support,family law
Percentage of income model calculates child support,family law
Modification of support based on changed circumstances,family law
Emancipation terminates child support,family law
College expenses may extend support beyond majority,family law
Medical support includes health insurance requirements,family law
Spousal support provides financial assistance after divorce,family law
Rehabilitative alimony supports education or training,family law
Permanent alimony continues indefinitely,family law
Lump sum alimony provides one-time payment,family law
Reimbursement alimony repays contributions,family law
Modification of alimony based on changed circumstances,family law
Termination of alimony upon remarriage or death,family law
Palimony supports unmarried cohabitants,family law
Paternity establishment determines legal father,family law
Presumption of paternity for husband of mother,family law
Genetic testing proves biological relationship,family law
Acknowledgment of paternity establishes legal father,family law
Legitimation recognizes child of unmarried parents,family law
Adoption creates permanent parent-child relationship,family law
Agency adoption through licensed organization,family law
Private adoption arranged without agency,family law
International adoption from another country,family law
Stepparent adoption by spouse of biological parent,family law
Relative adoption by family member,family law
Adult adoption of another adult,family law
Home study evaluates adoptive family suitability,family law
Termination of parental rights ends legal relationship,family law
Involuntary termination for abuse or neglect,family law
Voluntary termination by consent,family law
Guardianship provides care for minor children,family law
Guardian ad litem represents child's interests,family law
Conservatorship manages finances of incapacitated person,family law
Foster care provides temporary placement,family law
Kinship care by relatives,family law
Respite care provides temporary relief for caregivers,family law
Domestic violence protection orders restrict contact,family law
Emergency protection orders provide immediate relief,family law
Permanent protection orders provide long-term protection,family law
Mandatory arrest policies for domestic violence,family law
No-drop prosecution policies for domestic violence,family law
Batterer intervention programs address abusive behavior,family law
Marital property includes real and personal property,family law
Equitable distribution considers multiple factors,family law
Separate property includes premarital assets,family law
Inheritance received during marriage may be separate,family law
Gifts received during marriage may be separate,family law
Commingling mixes separate and marital property,family law
Transmutation changes separate to marital property,family law
Valuation determines worth of marital assets,family law
Business valuation for marital businesses,family law
Professional practice valuation for marital interests,family law
Pension division through Qualified Domestic Relations Order,family law
Retirement account division through court order,family law
Debt allocation divides marital obligations,family law
Marital home disposition in divorce,family law
Name change after divorce,family law
Relocation with children requires court approval,family law
Parental alienation involves turning child against parent,family law
Parental kidnapping involves unlawful taking of child,family law
Hague Convention addresses international child abduction,family law
Grandparents' visitation rights may be granted,family law
Third-party visitation rights may be granted,family law
Surrogacy agreements govern birth by surrogate,family law
Gestational surrogacy uses donor embryo,family law
Traditional surrogacy uses surrogate's egg,family law
Assisted reproduction involves medical intervention,family law
Sperm donation involves male genetic material,family law
Egg donation involves female genetic material,family law
Embryo donation involves fertilized eggs,family law
Cryopreservation freezes reproductive materials,family law
Posthumous reproduction after death of genetic parent,family law
Same-sex marriage recognized in many jurisdictions,family law
Civil union provides legal recognition for same-sex couples,family law
Domestic partnership provides legal recognition for unmarried couples,family law
Cohabitation agreements govern unmarried couples,family law
Palimony provides support for unmarried cohabitants,family law
Putative spouse doctrine protects innocent party to invalid marriage,family law
Covenant marriage requires premarital counseling,family law
Marriage license required for legal marriage,family law
Marriage certificate proves legal marriage,family law
Common law marriage recognized in some states,family law
Proxy marriage where representative stands in,family law
Secret marriage without public ceremony,family law
Child marriage under minimum age requires court approval,family law
Forced marriage without free consent is prohibited,family law
Arranged marriage with family involvement may be valid,family law
Interfaith marriage between different religions,family law
Interracial marriage between different races,family law
International marriage between different nationalities,family law
Bigamy involves multiple simultaneous marriages,family law
Polygamy involves multiple spouses,family law
Incest involves marriage between close relatives,family law
The employer must ensure safe and healthy working conditions,labor law
Workers have the right to form and join trade unions,labor law
Overtime work shall be compensated according to law,labor law
Minimum wage is established by national statute,labor law
Unlawful dismissal entitles the employee to compensation,labor law
A collective bargaining agreement binds both employer and union,labor law
Paid annual leave is a statutory right,labor law
Employees must receive contributions to social security,labor law
Discrimination based on gender or religion is prohibited,labor law
Employment contracts must state probationary terms,labor law
At-will employment allows termination without cause,labor law
Wrongful termination violates public policy,labor law
Constructive discharge forces resignation through intolerable conditions,labor law
Retaliation for protected activity is prohibited,labor law
Whistleblower protection shields reporters of illegality,labor law
Equal employment opportunity prohibits discrimination,labor law
Title VII prohibits employment discrimination,labor law
Age Discrimination in Employment Act protects older workers,labor law
Americans with Disabilities Act requires reasonable accommodation,labor law
Pregnancy Discrimination Act protects pregnant workers,labor law
Equal Pay Act requires equal pay for equal work,labor law
Family and Medical Leave Act provides unpaid leave,labor law
Fair Labor Standards Act establishes wage and hour standards,labor law
National Labor Relations Act protects union activity,labor law
Occupational Safety and Health Act ensures workplace safety,labor law
Worker Adjustment and Retraining Notification Act requires notice of layoffs,labor law
Uniformed Services Employment and Reemployment Rights Act protects military service members,labor law
Employee Retirement Income Security Act governs pensions,labor law
Consolidated Omnibus Budget Reconciliation Act provides continued health insurance,labor law
Health Insurance Portability and Accountability Act protects health information,labor law
Genetic Information Nondiscrimination Act prohibits genetic discrimination,labor law
Lilly Ledbetter Fair Pay Act extends discrimination filing period,labor law
Affirmative action promotes diversity in employment,labor law
Disparate treatment involves intentional discrimination,labor law
Disparate impact involves neutral policies with discriminatory effect,labor law
Reasonable accommodation for disabilities,labor law
Undue hardship defense to accommodation,labor law
Essential functions of job determine accommodation requirements,labor law
Interactive process for accommodation requests,labor law
Hostile work environment involves severe harassment,labor law
Quid pro quo harassment involves exchange for benefits,labor law
Sexual harassment prohibited in workplace,labor law
Employer liability for supervisor harassment,labor law
Prevention and correction of harassment required,labor law
Faragher-Ellerth defense to harassment claims,labor law
Independent contractor distinguished from employee,labor law
Economic realities test determines employment status,labor law
Right-to-control test determines employment status,labor law
ABC test determines employment status,labor law
Misclassification of employees as contractors prohibited,labor law
Joint employer liability for multiple employers,labor law
Successor employer liability after business transfer,labor law
Alter ego doctrine pierces corporate veil for labor violations,labor law
Single employer doctrine treats related entities as one,labor law
Enterprise coverage under FLSA,labor law
Individual coverage under FLSA,labor law
Exempt employees not entitled to overtime,labor law
Non-exempt employees entitled to overtime,labor law
White collar exemptions for executive administrative professional employees,labor law
Salary basis test for exemptions,labor law
Duties test for exemptions,labor law
Salary level test for exemptions,labor law
Regular rate includes all remuneration,labor law
Overtime at time and one-half for hours over 40,labor law
Fluctuating workweek method for overtime calculation,labor law
Belo contracts for irregular schedules,labor law
Tip credit reduces minimum wage for tipped employees,labor law
Tip pooling among employees,labor law
Service charges distinguished from tips,labor law
Meal and rest break requirements,labor law
On-call time compensability,labor law
Travel time compensability,labor law
Training time compensability,labor law
Sleep time compensability,labor law
Waiting time compensability,labor law
Preliminary and postliminary activities compensability,labor law
Child labor restrictions,labor law
Hazardous occupations restrictions for minors,labor law
Work certificates for minors,labor law
Maximum hours for minors,labor law
Agricultural exemptions for child labor,labor law
Family business exemptions for child labor,labor law
Recordkeeping requirements for employers,labor law
Posting requirements for labor notices,labor law
Pay statement requirements,labor law
Final paycheck timing requirements,labor law
Deductions from wages restrictions,labor law
Wage garnishment limitations,labor law
Assignment of wages restrictions,labor law
Direct deposit authorization requirements,labor law
Unemployment insurance benefits,labor law
Disqualification from unemployment benefits,labor law
Workers' compensation for workplace injuries,labor law
Exclusive remedy doctrine limits tort claims,labor law
Temporary total disability benefits,labor law
Permanent partial disability benefits,labor law
Permanent total disability benefits,labor law
Death benefits for fatal injuries,labor law
Medical benefits for treatment,labor law
Vocational rehabilitation benefits,labor law
Second injury funds for preexisting conditions,labor law
Occupational diseases coverage,labor law
Mental stress claims,labor law
Cumulative trauma disorders,labor law
Employer negligence claims outside workers' compensation,labor law
Intentional tort exception to exclusive remedy,labor law
Dual capacity doctrine allows tort claims,labor law
Fraudulent concealment exception to exclusive remedy,labor law
Any person who causes damage to another shall be obliged to repair it,civil law
Civil liability arises from fault damage and causation,civil law
Compensation shall be proportionate to the harm suffered,civil law
Negligence may give rise to civil responsibility,civil law
A person injured by a defective product may claim damages,civil law
Loss of consortium may be included in damages,civil law
Statute of limitations extinguishes certain claims,civil law
Joint tortfeasors are liable for full compensation,civil law
Strict liability applies to ultra-hazardous activities,civil law
Emotional distress may be compensated if proven,civil law
Tort law addresses civil wrongs not arising from contract,civil law
Intentional torts involve deliberate harmful acts,civil law
Negligence involves breach of duty of care,civil law
Strict liability imposes responsibility without fault,civil law
Duty of care requires reasonable conduct,civil law
Breach of duty violates standard of care,civil law
Causation links breach to injury,civil law
Actual cause or cause in fact,civil law
Proximate cause or legal cause,civil law
Damages compensate for injury,civil law
Assault involves apprehension of harmful contact,civil law
Battery involves harmful or offensive contact,civil law
False imprisonment involves unlawful restraint,civil law
Intentional infliction of emotional distress involves extreme conduct,civil law
Trespass to land involves unauthorized entry,civil law
Trespass to chattels involves interference with property,civil law
Conversion involves serious interference with property,civil law
Fraud involves intentional misrepresentation,civil law
Defamation involves false statements harming reputation,civil law
Public disclosure of private facts,civil law
False light portrays person in misleading way,civil law
Appropriation of likeness for commercial use,civil law
Intrusion upon seclusion invades private affairs,civil law
Negligence elements include duty breach causation damages,civil law
Reasonable person standard for duty of care,civil law
Professional standard of care for specialists,civil law
Res ipsa loquitur allows inference of negligence,civil law
Negligence per se violates statute,civil law
Comparative negligence reduces recovery based on fault,civil law
Contributory negligence bars recovery if plaintiff at fault,civil law
Assumption of risk bars recovery for known dangers,civil law
Dram shop liability for alcohol providers,civil law
Social host liability for party hosts,civil law
Premises liability for property owners,civil law
Invitee licensee trespasser classifications,civil law
Attractive nuisance doctrine for dangerous attractions to children,civil law
Negligent entrustment of dangerous items,civil law
Negligent hiring of dangerous employees,civil law
Negligent supervision of dangerous persons,civil law
Negligent infliction of emotional distress,civil law
Bystander recovery for witnessing injury,civil law
Wrongful death compensates for fatal injuries,civil law
Survival action continues deceased person's claims,civil law
Loss of consortium compensates for relationship loss,civil law
Parental consortium for loss of parent,civil law
Filial consortium for loss of child,civil law
Strict liability for abnormally dangerous activities,civil law
Ultrahazardous activities include blasting and fireworks,civil law
Wild animals strict liability,civil law
Domestic animals liability for known viciousness,civil law
Product liability for defective products,civil law
Manufacturing defects depart from intended design,civil law
Design defects make product unreasonably dangerous,civil law
Warning defects lack adequate instructions,civil law
Breach of warranty involves failure of promise,civil law
Express warranty explicit promise about product,civil law
Privity requirement for warranty claims,civil law
Misrepresentation about products,civil law
Consumer expectation test for defects,civil law
Risk-utility test for defects,civil law
State of the art defense for product liability,civil law
Sophisticated user defense for product liability,civil law
Learned intermediary defense for medical products,civil law
Government contractor defense for military products,civil law
Statute of repose bars claims after fixed time,civil law
Market share liability for indistinguishable products,civil law
Alternative liability when multiple defendants,civil law
Enterprise liability for industry-wide harm,civil law
Nuisance involves interference with use of property,civil law
Private nuisance affects individual property,civil law
Permanent nuisance involves long-term interference,civil law
Temporary nuisance involves short-term interference,civil law
Reasonableness balancing for nuisance claims,civil law
Abatement of nuisance remedies,civil law
Injunction against nuisance,civil law
Damages for nuisance,civil law
Trespass involves intentional entry,civil law
Continuing trespass involves ongoing presence,civil law
Trespass ab initio involves lawful entry becoming unlawful,civil law
Ejectment removes trespasser,civil law
Replevin recovers personal property,civil law
Trover converts property to damages,civil law
Detinue recovers specific property,civil law
Conversion damages for property value,civil law
Chattel mortgages security interests,civil law
Mechanic's liens for unpaid work,civil law
Artisan's liens for unpaid repairs,civil law
Innkeeper's liens for unpaid bills,civil law
Carrier's liens for unpaid transport,civil law
Garagement's liens for unpaid storage,civil law
Warehouseman's liens for unpaid storage,civil law
The constitution guarantees freedom of expression,constitutional law
Laws contrary to the constitution shall be invalid,constitutional law
Citizens are equal before the law without discrimination,constitutional law
A constitutional amendment requires a supermajority,constitutional law
The judiciary is independent of the executive,constitutional law
Freedom of religion is protected by the constitution,constitutional law
The right to vote shall not be abridged,constitutional law
A state of emergency may be declared only by law,constitutional law
Judicial review ensures statute legality,constitutional law
Fundamental rights are inalienable and protected,constitutional law
Separation of powers divides government branches,constitutional law
Checks and balances prevent branch overreach,constitutional law
Federalism divides national and state powers,constitutional law
Supremacy Clause makes constitution supreme law,constitutional law
Commerce Clause regulates interstate commerce,constitutional law
Necessary and Proper Clause enables implied powers,constitutional law
Takings Clause requires compensation for property,constitutional law
Due Process Clause requires fair procedures,constitutional law
Equal Protection Clause prohibits discrimination,constitutional law
Establishment Clause prohibits state religion,constitutional law
Free Exercise Clause protects religious practice,constitutional law
Free Speech Clause protects expression,constitutional law
Free Press Clause protects media,constitutional law
Free Assembly Clause protects gatherings,constitutional law
Petition Clause protects grievances to government,constitutional law
Search and Seizure Clause regulates police actions,constitutional law
Self-Incrimination Clause protects against forced testimony,constitutional law
Double Jeopardy Clause prevents retrial,constitutional law
Cruel and Unusual Punishment Clause regulates penalties,constitutional law
Right to Counsel Clause guarantees legal representation,constitutional law
Speedy Trial Clause requires prompt proceedings,constitutional law
Confrontation Clause allows cross-examination,constitutional law
Compulsory Process Clause allows witness subpoena,constitutional law
Jury Trial Clause guarantees jury in criminal cases,constitutional law
Civil Jury Clause guarantees jury in civil cases,constitutional law
Excessive Bail Clause regulates pretrial release,constitutional law
Eminent Domain allows taking for public use,constitutional law
Just Compensation requires payment for takings,constitutional law
Contract Clause limits state interference with contracts,constitutional law
Privileges and Immunities Clause protects state citizens,constitutional law
Full Faith and Credit Clause requires recognition of state acts,constitutional law
Extradition Clause requires return of fugitives,constitutional law
Republican Government Clause guarantees representative government,constitutional law
War Powers Clause divides war authority,constitutional law
Appointments Clause governs official appointments,constitutional law
Presentment Clause governs bill passage,constitutional law
Vesting Clauses grant executive legislative judicial powers,constitutional law
Take Care Clause requires faithful execution of laws,constitutional law
Advice and Consent Clause involves Senate approval,constitutional law
Impeachment Clause provides removal of officials,constitutional law
Supermajority requirements for certain actions,constitutional law
Ratification process for amendments,constitutional law
Convention method for amendments,constitutional law
Judicial review established by Marbury v Madison,constitutional law
Incorporation applies Bill of Rights to states,constitutional law
Selective incorporation applies specific rights,constitutional law
Total incorporation applies all rights,constitutional law
Fundamental rights apply to all citizens,constitutional law
Suspect classifications receive strict scrutiny,constitutional law
Race classification receives strict scrutiny,constitutional law
National origin classification receives strict scrutiny,constitutional law
Religion classification receives strict scrutiny,constitutional law
Alienage classification receives strict scrutiny,constitutional law
Quasi-suspect classifications receive intermediate scrutiny,constitutional law
Gender classification receives intermediate scrutiny,constitutional law
Legitimacy classification receives intermediate scrutiny,constitutional law
Rational basis review for other classifications,constitutional law
Age classification receives rational basis review,constitutional law
Disability classification receives rational basis review,constitutional law
Wealth classification receives rational basis review,constitutional law
Sexual orientation classification receives heightened scrutiny,constitutional law
Compelling government interest test for strict scrutiny,constitutional law
Important government interest test for intermediate scrutiny,constitutional law
Legitimate government interest test for rational basis,constitutional law
Narrow tailoring requirement for strict scrutiny,constitutional law
Substantial relationship requirement for intermediate scrutiny,constitutional law
Rational relationship requirement for rational basis,constitutional law
Overbreadth doctrine invalidates laws affecting protected speech,constitutional law
Vagueness doctrine invalidates unclear laws,constitutional law
Prior restraint prohibits censorship before expression,constitutional law
Content-based restrictions receive strict scrutiny,constitutional law
Content-neutral restrictions receive intermediate scrutiny,constitutional law
Time place manner restrictions regulate expression,constitutional law
Public forum doctrine protects traditional expression venues,constitutional law
Designated public forum for government-designated expression,constitutional law
Limited public forum for limited expression,constitutional law
Nonpublic forum for government property not open to expression,constitutional law
Fighting words not protected by First Amendment,constitutional law
True threats not protected by First Amendment,constitutional law
Incitement to imminent lawless action not protected,constitutional law
Obscenity not protected by First Amendment,constitutional law
Miller test defines obscenity,constitutional law
Defamation not fully protected by First Amendment,constitutional law
Actual malice required for public figure defamation,constitutional law
Negligence required for private figure defamation,constitutional law
Commercial speech receives intermediate scrutiny,constitutional law
Central Hudson test for commercial speech,constitutional law
Symbolic speech protected by First Amendment,constitutional law
Expressive conduct protected by First Amendment,constitutional law
O'Brien test for expressive conduct,constitutional law
Prior restraint disfavored by First Amendment,constitutional law
Heckler's veto not allowed under First Amendment,constitutional law
Public employee speech protected on matters of public concern,constitutional law
Pickering balancing test for public employee speech,constitutional law
Student speech protected in schools,constitutional law
Tinker test for student speech,constitutional law
Hazelwood test for school-sponsored speech,constitutional law
Morse test for dangerous student speech,constitutional law
Establishment Clause prohibits government establishment of religion,constitutional law
Lemon test for Establishment Clause,constitutional law
Endorsement test for Establishment Clause,constitutional law
Coercion test for Establishment Clause,constitutional law
Sherbert test for Free Exercise claims,constitutional law
Compelling interest test for Free Exercise,constitutional law
